"Deliverable 
(Streamtime: Item Name)","Description
(Streamtime: Description)",Resource, Dept Rate,Effort / Quantity,Cost Rate ,Total Cost ,Sell Rate,Total Sell ,Deliverable Price ,Internal Notes
[0] TEST LINE ITEM,DO NOT DELETE: DATA STRUCTURE FOR PIVOT-SOURCE x ESTIMATOR MAPPING,Tech Lead,Technical Consultancy & Solutioning,20, $ 172 ," $ 3,440 ", $ 200 ," $ 4,000.00 ",,
[0] TEST LINE ITEM,DO NOT DELETE: DATA STRUCTURE FOR PIVOT-SOURCE x ESTIMATOR MAPPING,Developer,Tech,21, $ 144 ," $ 3,024 ", $ 150 ," $ 3,150.00 ",,
[0] TEST LINE ITEM,DO NOT DELETE: DATA STRUCTURE FOR PIVOT-SOURCE x ESTIMATOR MAPPING,[Expense],Shutterstock (per image),22, $ 50 ," $ 1,100 ", $ 50 ," $ 1,100.00 ",,
[Custom] Campaign: Strategy & Planning (>$100K media budget),"- Personas (Up to 3), User Journey (Up to 3), Strategic Direction, Key Value Proposition
- Creative rationale, Key Visuals (Up to 2), Message Architecture, Master Ad Copy & Designs (Up to 3)
- Channels Rationale, Media Tactics, Campaign Flow, Media Plan (Up to 5 channels, 3 countries)
- Project management of the Campaign planning",Strategic Planner,Strategy,14, $ 133 ," $ 1,862 ", $ 180 ," $ 2,520.00 "," $ 18,240.00 ",
[Custom] Campaign: Strategy & Planning (>$100K media budget),"- Personas (Up to 3), User Journey (Up to 3), Strategic Direction, Key Value Proposition
- Creative rationale, Key Visuals (Up to 2), Message Architecture, Master Ad Copy & Designs (Up to 3)
- Channels Rationale, Media Tactics, Campaign Flow, Media Plan (Up to 5 channels, 3 countries)
- Project management of the Campaign planning",Strategy Director,Strategy Leadership,4, $ 280 ," $ 1,120 ", $ 280 ," $ 1,120.00 ",, 
[Custom] Campaign: Strategy & Planning (>$100K media budget),"- Personas (Up to 3), User Journey (Up to 3), Strategic Direction, Key Value Proposition
- Creative rationale, Key Visuals (Up to 2), Message Architecture, Master Ad Copy & Designs (Up to 3)
- Channels Rationale, Media Tactics, Campaign Flow, Media Plan (Up to 5 channels, 3 countries)
- Project management of the Campaign planning",Creative Director,Creative Direction,4, $ 280 ," $ 1,120 ", $ 280 ," $ 1,120.00 ",,
[Custom] Campaign: Strategy & Planning (>$100K media budget),"- Personas (Up to 3), User Journey (Up to 3), Strategic Direction, Key Value Proposition
- Creative rationale, Key Visuals (Up to 2), Message Architecture, Master Ad Copy & Designs (Up to 3)
- Channels Rationale, Media Tactics, Campaign Flow, Media Plan (Up to 5 channels, 3 countries)
- Project management of the Campaign planning",Art Director,Creative,24, $ 122 ," $ 2,928 ", $ 170 ," $ 4,080.00 ",,
[Custom] Campaign: Strategy & Planning (>$100K media budget),"- Personas (Up to 3), User Journey (Up to 3), Strategic Direction, Key Value Proposition
- Creative rationale, Key Visuals (Up to 2), Message Architecture, Master Ad Copy & Designs (Up to 3)
- Channels Rationale, Media Tactics, Campaign Flow, Media Plan (Up to 5 channels, 3 countries)
- Project management of the Campaign planning",[Expense],Shutterstock (per image),4, $ 50 , $ 200 , $ 50 , $ 200.00 ,,
[Custom] Campaign: Strategy & Planning (>$100K media budget),"- Personas (Up to 3), User Journey (Up to 3), Strategic Direction, Key Value Proposition
- Creative rationale, Key Visuals (Up to 2), Message Architecture, Master Ad Copy & Designs (Up to 3)
- Channels Rationale, Media Tactics, Campaign Flow, Media Plan (Up to 5 channels, 3 countries)
- Project management of the Campaign planning",Copywriter,Content,14, $ 147 ," $ 2,058 ", $ 170 ," $ 2,380.00 ",,
[Custom] Campaign: Strategy & Planning (>$100K media budget),"- Personas (Up to 3), User Journey (Up to 3), Strategic Direction, Key Value Proposition
- Creative rationale, Key Visuals (Up to 2), Message Architecture, Master Ad Copy & Designs (Up to 3)
- Channels Rationale, Media Tactics, Campaign Flow, Media Plan (Up to 5 channels, 3 countries)
- Project management of the Campaign planning",Account Manager,Account Management,14, $ 170 ," $ 2,380 ", $ 180 ," $ 2,520.00 ",,
[Custom] Campaign: Strategy & Planning (>$100K media budget),"- Personas (Up to 3), User Journey (Up to 3), Strategic Direction, Key Value Proposition
- Creative rationale, Key Visuals (Up to 2), Message Architecture, Master Ad Copy & Designs (Up to 3)
- Channels Rationale, Media Tactics, Campaign Flow, Media Plan (Up to 5 channels, 3 countries)
- Project management of the Campaign planning",Client Partnership Director,Client Direction & Leadership,4, $ 240 , $ 960 , $ 240 , $ 960.00 ,,
[Custom] Campaign: Strategy & Planning (>$100K media budget),"- Personas (Up to 3), User Journey (Up to 3), Strategic Direction, Key Value Proposition
- Creative rationale, Key Visuals (Up to 2), Message Architecture, Master Ad Copy & Designs (Up to 3)
- Channels Rationale, Media Tactics, Campaign Flow, Media Plan (Up to 5 channels, 3 countries)
- Project management of the Campaign planning",Marketing Director,Marketing Direction,4, $ 240 , $ 960 , $ 240 , $ 960.00 ,,
[Custom] Campaign: Strategy & Planning (>$100K media budget),"- Personas (Up to 3), User Journey (Up to 3), Strategic Direction, Key Value Proposition
- Creative rationale, Key Visuals (Up to 2), Message Architecture, Master Ad Copy & Designs (Up to 3)
- Channels Rationale, Media Tactics, Campaign Flow, Media Plan (Up to 5 channels, 3 countries)
- Project management of the Campaign planning",Marketer,Marketing,14, $ 140 ," $ 1,960 ", $ 170 ," $ 2,380.00 ",,
[Essential] Campaign: Strategy & Planning (<$100K media budget),"Channels Rationale, Media Tactics, Campaign Flow, Media Plan (Up to 3 channels, 3 countries)
Client to provide: Personas, Key Value Proposition, Key Visuals",Strategic Planner,Strategy,0, $ 133 , $ -   , $ 180 , $ -   ," $ 3,220.00 ",
[Essential] Campaign: Strategy & Planning (<$100K media budget),"Channels Rationale, Media Tactics, Campaign Flow, Media Plan (Up to 3 channels, 3 countries)
Client to provide: Personas, Key Value Proposition, Key Visuals",Strategy Director,Strategy Leadership,0, $ 280 , $ -   , $ 280 , $ -   ,,
[Essential] Campaign: Strategy & Planning (<$100K media budget),"Channels Rationale, Media Tactics, Campaign Flow, Media Plan (Up to 3 channels, 3 countries)
Client to provide: Personas, Key Value Proposition, Key Visuals",Creative Director,Creative Direction,0, $ 280 , $ -   , $ 280 , $ -   ,,
[Essential] Campaign: Strategy & Planning (<$100K media budget),"Channels Rationale, Media Tactics, Campaign Flow, Media Plan (Up to 3 channels, 3 countries)
Client to provide: Personas, Key Value Proposition, Key Visuals",Art Director,Creative,0, $ 122 , $ -   , $ 170 , $ -   ,,
[Essential] Campaign: Strategy & Planning (<$100K media budget),"Channels Rationale, Media Tactics, Campaign Flow, Media Plan (Up to 3 channels, 3 countries)
Client to provide: Personas, Key Value Proposition, Key Visuals",[Expense],Shutterstock (per image),0, $ 50 , $ -   , $ 50 , $ -   ,,
[Essential] Campaign: Strategy & Planning (<$100K media budget),"Channels Rationale, Media Tactics, Campaign Flow, Media Plan (Up to 3 channels, 3 countries)
Client to provide: Personas, Key Value Proposition, Key Visuals",Copywriter,Content,0, $ 147 , $ -   , $ 170 , $ -   ,,
[Essential] Campaign: Strategy & Planning (<$100K media budget),"Channels Rationale, Media Tactics, Campaign Flow, Media Plan (Up to 3 channels, 3 countries)
Client to provide: Personas, Key Value Proposition, Key Visuals",Account Manager,Account Management,2, $ 170 , $ 340 , $ 180 , $ 360.00 ,,
[Essential] Campaign: Strategy & Planning (<$100K media budget),"Channels Rationale, Media Tactics, Campaign Flow, Media Plan (Up to 3 channels, 3 countries)
Client to provide: Personas, Key Value Proposition, Key Visuals",Client Partnership Director,Client Direction & Leadership,0, $ 240 , $ -   , $ 240 , $ -   ,,
[Essential] Campaign: Strategy & Planning (<$100K media budget),"Channels Rationale, Media Tactics, Campaign Flow, Media Plan (Up to 3 channels, 3 countries)
Client to provide: Personas, Key Value Proposition, Key Visuals",Marketing Director,Marketing Direction,2, $ 240 , $ 480 , $ 240 , $ 480.00 ,,
[Essential] Campaign: Strategy & Planning (<$100K media budget),"Channels Rationale, Media Tactics, Campaign Flow, Media Plan (Up to 3 channels, 3 countries)
Client to provide: Personas, Key Value Proposition, Key Visuals",Marketer,Marketing,14, $ 140 ," $ 1,960 ", $ 170 ," $ 2,380.00 ",,
[Custom] Campaign: Setups (>$100K media budget),"- Setups of Ad Accounts (Up to 5)
- Ads specs (Up to 25)
- Report setup (Gsheet & Dashboard)
- Tagging plan & setup
- Lead Gen Connectors setup
- Ad campaign setups (Up to 20)
- Proof of delivery (PPT)",Marketing Director,Marketing Direction,4, $ 240 , $ 960 , $ 240 , $ 960.00 ," $ 9,500.00 ",
[Custom] Campaign: Setups (>$100K media budget),"- Setups of Ad Accounts (Up to 5)
- Ads specs (Up to 25)
- Report setup (Gsheet & Dashboard)
- Tagging plan & setup
- Lead Gen Connectors setup
- Ad campaign setups (Up to 20)
- Proof of delivery (PPT)",Account Manager,Account Management,4, $ 170 , $ 680 , $ 180 , $ 720.00 ,,
[Custom] Campaign: Setups (>$100K media budget),"- Setups of Ad Accounts (Up to 5)
- Ads specs (Up to 25)
- Report setup (Gsheet & Dashboard)
- Tagging plan & setup
- Lead Gen Connectors setup
- Ad campaign setups (Up to 20)
- Proof of delivery (PPT)",Marketer,Marketing,46, $ 140 ," $ 6,440 ", $ 170 ," $ 7,820.00 ",,
[Essential] Campaign: Setups (<$100K media budget),"- Setups of Ad Accounts (Up to 3)
- Ads specs (Up to 12)
- Report setup (Gsheet & Dashboard)
- Tagging plan & setup
- Lead Gen Connectors setup
- Ad campaign setups (Up to 12)
- Proof of delivery (PPT)",Marketing Director,Marketing Direction,0, $ 240 , $ -   , $ 240 , $ -   ," $ 3,080.00 ",
[Essential] Campaign: Setups (<$100K media budget),"- Setups of Ad Accounts (Up to 3)
- Ads specs (Up to 12)
- Report setup (Gsheet & Dashboard)
- Tagging plan & setup
- Lead Gen Connectors setup
- Ad campaign setups (Up to 12)
- Proof of delivery (PPT)",Account Manager,Account Management,2, $ 170 , $ 340 , $ 180 , $ 360.00 ,,
[Essential] Campaign: Setups (<$100K media budget),"- Setups of Ad Accounts (Up to 3)
- Ads specs (Up to 12)
- Report setup (Gsheet & Dashboard)
- Tagging plan & setup
- Lead Gen Connectors setup
- Ad campaign setups (Up to 12)
- Proof of delivery (PPT)",Marketer,Marketing,16, $ 140 ," $ 2,240 ", $ 170 ," $ 2,720.00 ",,
[Custom] Campaign: Monthly Management and Reporting (>$100K media budget),"Monthly Campaigns Management scope:
- Daily Monitoring of the performance
- Weekly Optimisations to improve the performance

Monthly Reporting scope:
- Automated and Real-time Report (Google Sheet) for all channels
- Weekly updates via email when necessary
- Custom Automated and Real-time Looker Studio Dashboard
- Monthly Campaign insights via email and/ot Looker Studio Dashboard
- Quarterly Campaign Report (PPT) if the campaign duration is longer than 6 months
- Campaign End Report (PPT) if the campaign duration is at least 1 month",Marketing Director,Marketing Direction,1, $ 240 , $ 240 , $ 240 , $ 240.00 ," $ 2,640.00 ",
[Custom] Campaign: Monthly Management and Reporting (>$100K media budget),"Monthly Campaigns Management scope:
- Daily Monitoring of the performance
- Weekly Optimisations to improve the performance

Monthly Reporting scope:
- Automated and Real-time Report (Google Sheet) for all channels
- Weekly updates via email when necessary
- Custom Automated and Real-time Looker Studio Dashboard
- Monthly Campaign insights via email and/ot Looker Studio Dashboard
- Quarterly Campaign Report (PPT) if the campaign duration is longer than 6 months
- Campaign End Report (PPT) if the campaign duration is at least 1 month",Account Manager,Account Management,2, $ 170 , $ 340 , $ 180 , $ 360.00 ,,
[Custom] Campaign: Monthly Management and Reporting (>$100K media budget),"Monthly Campaigns Management scope:
- Daily Monitoring of the performance
- Weekly Optimisations to improve the performance

Monthly Reporting scope:
- Automated and Real-time Report (Google Sheet) for all channels
- Weekly updates via email when necessary
- Custom Automated and Real-time Looker Studio Dashboard
- Monthly Campaign insights via email and/ot Looker Studio Dashboard
- Quarterly Campaign Report (PPT) if the campaign duration is longer than 6 months
- Campaign End Report (PPT) if the campaign duration is at least 1 month",Marketer,Marketing,12, $ 140 ," $ 1,680 ", $ 170 ," $ 2,040.00 ",,
[Essential] Campaign: Monthly Management and Reporting (<$100K media budget),"Monthly Campaigns Management scope:
- Daily Monitoring of the performance
- Weekly Optimisations to improve the performance

Monthly Reporting scope:
- Automated and Real-time Report (Google Sheet) for all channels
- Weekly updates via email when necessary
- Standard Automated and Real-time Looker Studio Dashboard
- Monthly Campaign insights via email and/ot Looker Studio Dashboard",Marketing Director,Marketing Direction,0, $ 240 , $ -   , $ 240 , $ -   ," $ 1,380.00 ",
[Essential] Campaign: Monthly Management and Reporting (<$100K media budget),"Monthly Campaigns Management scope:
- Daily Monitoring of the performance
- Weekly Optimisations to improve the performance

Monthly Reporting scope:
- Automated and Real-time Report (Google Sheet) for all channels
- Weekly updates via email when necessary
- Standard Automated and Real-time Looker Studio Dashboard
- Monthly Campaign insights via email and/ot Looker Studio Dashboard",Account Manager,Account Management,2, $ 170 , $ 340 , $ 180 , $ 360.00 ,,
[Essential] Campaign: Monthly Management and Reporting (<$100K media budget),"Monthly Campaigns Management scope:
- Daily Monitoring of the performance
- Weekly Optimisations to improve the performance

Monthly Reporting scope:
- Automated and Real-time Report (Google Sheet) for all channels
- Weekly updates via email when necessary
- Standard Automated and Real-time Looker Studio Dashboard
- Monthly Campaign insights via email and/ot Looker Studio Dashboard",Marketer,Marketing,6, $ 140 , $ 840 , $ 170 ," $ 1,020.00 ",,
"[Custom] Marketing Automation: Strategy & Planning (>$60,000 budget)","- Personas (up to 6x personas), User Journey  (up to 3x customer journeys), Strategic Direction, Key Value Proposition
- Creative rationale, Key Visual, and Email samples (up to 3x samples)
- Project management of the planning
- Detailed tactical and implementation plan (up to 3x automation flows, up to 9 levels)
- Subscribers Growth Tactical Plan with creative recommendations",Strategic Planner,Strategy,14, $ 133 ," $ 1,862 ", $ 180 ," $ 2,520.00 "," $ 18,240.00 ",
"[Custom] Marketing Automation: Strategy & Planning (>$60,000 budget)","- Personas (up to 6x personas), User Journey  (up to 3x customer journeys), Strategic Direction, Key Value Proposition
- Creative rationale, Key Visual, and Email samples (up to 3x samples)
- Project management of the planning
- Detailed tactical and implementation plan (up to 3x automation flows, up to 9 levels)
- Subscribers Growth Tactical Plan with creative recommendations",Strategy Director,Strategy Leadership,4, $ 280 ," $ 1,120 ", $ 280 ," $ 1,120.00 ",,
"[Custom] Marketing Automation: Strategy & Planning (>$60,000 budget)","- Personas (up to 6x personas), User Journey  (up to 3x customer journeys), Strategic Direction, Key Value Proposition
- Creative rationale, Key Visual, and Email samples (up to 3x samples)
- Project management of the planning
- Detailed tactical and implementation plan (up to 3x automation flows, up to 9 levels)
- Subscribers Growth Tactical Plan with creative recommendations",Creative Director,Creative Direction,4, $ 280 ," $ 1,120 ", $ 280 ," $ 1,120.00 ",,
"[Custom] Marketing Automation: Strategy & Planning (>$60,000 budget)","- Personas (up to 6x personas), User Journey  (up to 3x customer journeys), Strategic Direction, Key Value Proposition
- Creative rationale, Key Visual, and Email samples (up to 3x samples)
- Project management of the planning
- Detailed tactical and implementation plan (up to 3x automation flows, up to 9 levels)
- Subscribers Growth Tactical Plan with creative recommendations",Art Director,Creative,24, $ 122 ," $ 2,928 ", $ 170 ," $ 4,080.00 ",,
"[Custom] Marketing Automation: Strategy & Planning (>$60,000 budget)","- Personas (up to 6x personas), User Journey  (up to 3x customer journeys), Strategic Direction, Key Value Proposition
- Creative rationale, Key Visual, and Email samples (up to 3x samples)
- Project management of the planning
- Detailed tactical and implementation plan (up to 3x automation flows, up to 9 levels)
- Subscribers Growth Tactical Plan with creative recommendations",[Expense],Shutterstock (per image),4, $ 50 , $ 200 , $ 50 , $ 200.00 ,,
"[Custom] Marketing Automation: Strategy & Planning (>$60,000 budget)","- Personas (up to 6x personas), User Journey  (up to 3x customer journeys), Strategic Direction, Key Value Proposition
- Creative rationale, Key Visual, and Email samples (up to 3x samples)
- Project management of the planning
- Detailed tactical and implementation plan (up to 3x automation flows, up to 9 levels)
- Subscribers Growth Tactical Plan with creative recommendations",Copywriter,Content,14, $ 147 ," $ 2,058 ", $ 170 ," $ 2,380.00 ",,
"[Custom] Marketing Automation: Strategy & Planning (>$60,000 budget)","- Personas (up to 6x personas), User Journey  (up to 3x customer journeys), Strategic Direction, Key Value Proposition
- Creative rationale, Key Visual, and Email samples (up to 3x samples)
- Project management of the planning
- Detailed tactical and implementation plan (up to 3x automation flows, up to 9 levels)
- Subscribers Growth Tactical Plan with creative recommendations",Account Manager,Account Management,14, $ 170 ," $ 2,380 ", $ 180 ," $ 2,520.00 ",,
"[Custom] Marketing Automation: Strategy & Planning (>$60,000 budget)","- Personas (up to 6x personas), User Journey  (up to 3x customer journeys), Strategic Direction, Key Value Proposition
- Creative rationale, Key Visual, and Email samples (up to 3x samples)
- Project management of the planning
- Detailed tactical and implementation plan (up to 3x automation flows, up to 9 levels)
- Subscribers Growth Tactical Plan with creative recommendations",Client Partnership Director,Client Direction & Leadership,4, $ 240 , $ 960 , $ 240 , $ 960.00 ,,
"[Custom] Marketing Automation: Strategy & Planning (>$60,000 budget)","- Personas (up to 6x personas), User Journey  (up to 3x customer journeys), Strategic Direction, Key Value Proposition
- Creative rationale, Key Visual, and Email samples (up to 3x samples)
- Project management of the planning
- Detailed tactical and implementation plan (up to 3x automation flows, up to 9 levels)
- Subscribers Growth Tactical Plan with creative recommendations",Marketing Director,Marketing Direction,4, $ 240 , $ 960 , $ 240 , $ 960.00 ,,
"[Custom] Marketing Automation: Strategy & Planning (>$60,000 budget)","- Personas (up to 6x personas), User Journey  (up to 3x customer journeys), Strategic Direction, Key Value Proposition
- Creative rationale, Key Visual, and Email samples (up to 3x samples)
- Project management of the planning
- Detailed tactical and implementation plan (up to 3x automation flows, up to 9 levels)
- Subscribers Growth Tactical Plan with creative recommendations",Marketer,Marketing,14, $ 140 ," $ 1,960 ", $ 170 ," $ 2,380.00 ",,
"[Essential] Marketing Automation: Strategy & Planning (<$60,000 budget)","- Detailed tactical and implementation plan (up to 3x automation flows, up to 9 levels)
Client to provide: Personas, User Journeys, Key Value Proposition, Key Visuals, Message architecture",Strategic Planner,Strategy,0, $ 133 , $ -   , $ 180 , $ -   ," $ 3,800.00 ",
"[Essential] Marketing Automation: Strategy & Planning (<$60,000 budget)","- Detailed tactical and implementation plan (up to 3x automation flows, up to 9 levels)
Client to provide: Personas, User Journeys, Key Value Proposition, Key Visuals, Message architecture",Strategy Director,Strategy Leadership,0, $ 280 , $ -   , $ 280 , $ -   ,,
"[Essential] Marketing Automation: Strategy & Planning (<$60,000 budget)","- Detailed tactical and implementation plan (up to 3x automation flows, up to 9 levels)
Client to provide: Personas, User Journeys, Key Value Proposition, Key Visuals, Message architecture",Creative Director,Creative Direction,0, $ 280 , $ -   , $ 280 , $ -   ,,
"[Essential] Marketing Automation: Strategy & Planning (<$60,000 budget)","- Detailed tactical and implementation plan (up to 3x automation flows, up to 9 levels)
Client to provide: Personas, User Journeys, Key Value Proposition, Key Visuals, Message architecture",Art Director,Creative,0, $ 122 , $ -   , $ 170 , $ -   ,,
"[Essential] Marketing Automation: Strategy & Planning (<$60,000 budget)","- Detailed tactical and implementation plan (up to 3x automation flows, up to 9 levels)
Client to provide: Personas, User Journeys, Key Value Proposition, Key Visuals, Message architecture",[Expense],Shutterstock (per image),2, $ 50 , $ 100 , $ 50 , $ 100.00 ,,
"[Essential] Marketing Automation: Strategy & Planning (<$60,000 budget)","- Detailed tactical and implementation plan (up to 3x automation flows, up to 9 levels)
Client to provide: Personas, User Journeys, Key Value Proposition, Key Visuals, Message architecture",Copywriter,Content,0, $ 147 , $ -   , $ 170 , $ -   ,,
"[Essential] Marketing Automation: Strategy & Planning (<$60,000 budget)","- Detailed tactical and implementation plan (up to 3x automation flows, up to 9 levels)
Client to provide: Personas, User Journeys, Key Value Proposition, Key Visuals, Message architecture",Account Manager,Account Management,2, $ 170 , $ 340 , $ 180 , $ 360.00 ,,
"[Essential] Marketing Automation: Strategy & Planning (<$60,000 budget)","- Detailed tactical and implementation plan (up to 3x automation flows, up to 9 levels)
Client to provide: Personas, User Journeys, Key Value Proposition, Key Visuals, Message architecture",Client Partnership Director,Client Direction & Leadership,0, $ 240 , $ -   , $ 240 , $ -   ,,
"[Essential] Marketing Automation: Strategy & Planning (<$60,000 budget)","- Detailed tactical and implementation plan (up to 3x automation flows, up to 9 levels)
Client to provide: Personas, User Journeys, Key Value Proposition, Key Visuals, Message architecture",Marketing Director,Marketing Direction,4, $ 240 , $ 960 , $ 240 , $ 960.00 ,,
"[Essential] Marketing Automation: Strategy & Planning (<$60,000 budget)","- Detailed tactical and implementation plan (up to 3x automation flows, up to 9 levels)
Client to provide: Personas, User Journeys, Key Value Proposition, Key Visuals, Message architecture",Marketer,Marketing,14, $ 140 ," $ 1,960 ", $ 170 ," $ 2,380.00 ",,
"[Custom] Marketing Automation: Setups (>$60,000 budget)","- Setups of 12 email marketing campaigns or 4 automation flows (up to 9 levels)
Note: Third-party cost of the Automation tool are not included.",Project Manager,Project Management,4, $ 131 , $ 524 , $ 180 , $ 720.00 ," $ 4,160.00 ",
"[Custom] Marketing Automation: Setups (>$60,000 budget)","- Setups of 12 email marketing campaigns or 4 automation flows (up to 9 levels)
Note: Third-party cost of the Automation tool are not included.",Marketing Director,Marketing Direction,3, $ 240 , $ 720 , $ 240 , $ 720.00 ,,
"[Custom] Marketing Automation: Setups (>$60,000 budget)","- Setups of 12 email marketing campaigns or 4 automation flows (up to 9 levels)
Note: Third-party cost of the Automation tool are not included.",Marketer,Marketing,16, $ 140 ," $ 2,240 ", $ 170 ," $ 2,720.00 ",,
"[Essential] Marketing Automation: Setups (<$60,000 budget)","- Setups of 6 email marketing campaigns or 3 automation flows (up to 9 levels)
Note: Third-party cost of the Automation tool are not included.",Project Manager,Project Management,2, $ 131 , $ 262 , $ 180 , $ 360.00 ," $ 2,060.00 ",
"[Essential] Marketing Automation: Setups (<$60,000 budget)","- Setups of 6 email marketing campaigns or 3 automation flows (up to 9 levels)
Note: Third-party cost of the Automation tool are not included.",Marketing Director,Marketing Direction,0, $ 240 , $ -   , $ 240 , $ -   ,,
"[Essential] Marketing Automation: Setups (<$60,000 budget)","- Setups of 6 email marketing campaigns or 3 automation flows (up to 9 levels)
Note: Third-party cost of the Automation tool are not included.",Marketer,Marketing,10, $ 140 ," $ 1,400 ", $ 170 ," $ 1,700.00 ",,
"[Custom] Marketing Automation: Monthly Management & Reporting (>$60,000 budget)","- Monitoring, analysis and provision of email marketing report with insights and recommendations to optimise email content or flow.",Project Manager,Project Management,1, $ 131 , $ 131 , $ 180 , $ 180.00 ," $ 1,780.00 ",
"[Custom] Marketing Automation: Monthly Management & Reporting (>$60,000 budget)","- Monitoring, analysis and provision of email marketing report with insights and recommendations to optimise email content or flow.",Marketing Director,Marketing Direction,1, $ 240 , $ 240 , $ 240 , $ 240.00 ,,
"[Custom] Marketing Automation: Monthly Management & Reporting (>$60,000 budget)","- Monitoring, analysis and provision of email marketing report with insights and recommendations to optimise email content or flow.",Marketer,Marketing,8, $ 140 ," $ 1,120 ", $ 170 ," $ 1,360.00 ",,
"[Essential] Marketing Automation: Monthly Management & Reporting (<$60,000 budget)",- Monitoring and provision of email marketing report.,Project Manager,Project Management,1, $ 131 , $ 131 , $ 180 , $ 180.00 , $ 860.00 ,
